game_key,lineup_spot,player_name,pa,ab,h,1b,2b,3b,hr,rbi,r,bb,so,sf,fc,gidp,outs,notes
soviet-sluggers-2021-07-14-1830-balls-deep,12,Jason,3,3,0,0,0,0,0,0,1,0,1,0,0,0,,
soviet-sluggers-2021-07-14-1930-balls-deep,1,Duff,2,2,2,2,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1930-balls-deep,2,Layshock,2,2,1,0,1,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1930-balls-deep,3,Glove,2,2,1,1,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1930-balls-deep,4,Jason,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1930-balls-deep,5,JJ,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1930-balls-deep,6,JT,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,
soviet-sluggers-2021-07-14-1930-balls-deep,7,Corey,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1930-balls-deep,8,Porter,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1930-balls-deep,9,Teo,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1930-balls-deep,10,Stevie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1930-balls-deep,11,AJ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1930-balls-deep,12,Kives,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1830-ringers,1,Teo,3,3,2,2,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1830-ringers,2,Duff,3,3,2,2,0,0,0,0,1,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1830-ringers,3,Layshock,3,3,1,1,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1830-ringers,4,JJ,3,3,1,1,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1830-ringers,5,Glove,3,3,1,1,0,0,0,1,1,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1830-ringers,6,AJ,2,2,1,0,0,0,1,1,1,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1830-ringers,7,Walsh,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1830-ringers,8,Corey,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1830-ringers,9,Porter,3,2,0,0,0,0,0,1,0,0,0,1,0,0,,
soviet-sluggers-2021-07-21-1830-ringers,10,Stevie,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1830-ringers,11,Jason,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1925-biohazard,1,Porter,4,4,4,1,2,0,1,3,3,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1925-biohazard,2,Duff,5,5,4,3,1,0,0,1,2,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1925-biohazard,3,Layshock,4,4,3,3,0,0,0,2,1,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1925-biohazard,4,Walsh,4,4,3,1,1,0,1,2,2,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1925-biohazard,5,Teo,4,4,3,0,2,1,0,1,3,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1925-biohazard,6,JJ,4,4,2,1,0,0,1,2,1,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1925-biohazard,7,Corey,4,4,2,2,0,0,0,0,1,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1925-biohazard,8,Stevie,4,4,2,2,0,0,0,1,2,0,0,0,0,0,,
soviet-sluggers-2021-07-21-1925-biohazard,9,Glove,5,4,2,1,0,0,1,6,1,0,0,1,0,0,,
soviet-sluggers-2021-07-21-1925-biohazard,10,Jason,4,3,1,1,0,0,0,0,2,1,1,0,0,0,,
soviet-sluggers-2021-07-21-1925-biohazard,11,AJ,4,4,1,1,0,0,0,1,1,0,0,0,0,0,,
smoking-bunts-2022-06-15-1830-phantoms,1,Glove,4,4,4,4,0,0,0,2,3,0,0,0,0,0,,
smoking-bunts-2022-06-15-1830-phantoms,2,Duff,3,3,3,2,1,0,0,1,2,0,0,0,0,0,,
smoking-bunts-2022-06-15-1830-phantoms,3,Jason,3,2,2,2,0,0,0,1,3,1,0,0,0,0,,
smoking-bunts-2022-06-15-1830-phantoms,4,Layshock,3,3,2,1,1,0,0,2,1,0,1,0,0,0,,
smoking-bunts-2022-06-15-1830-phantoms,5,JT,3,3,2,2,0,0,0,1,2,0,0,0,0,0,,
smoking-bunts-2022-06-15-1830-phantoms,6,Porter,4,4,2,1,0,0,1,1,2,0,0,0,0,0,,
smoking-bunts-2022-06-15-1830-phantoms,7,Tim,4,4,2,1,0,1,0,2,1,0,1,0,0,0,,
smoking-bunts-2022-06-15-1830-phantoms,8,Teo,4,3,1,0,0,1,0,3,0,0,0,1,0,0,,
smoking-bunts-2022-06-15-1830-phantoms,9,Stevie,3,3,1,1,0,0,0,1,1,0,0,0,0,0,,
smoking-bunts-2022-06-15-1830-phantoms,10,Corey,3,3,1,1,0,0,0,2,1,0,0,0,0,0,,
smoking-bunts-2022-06-15-1830-phantoms,11,JJ,3,3,1,1,0,0,0,1,1,0,0,0,0,0,,
smoking-bunts-2022-06-15-1930-phantoms,1,JT,3,3,3,1,1,1,0,3,1,0,0,0,0,0,,
smoking-bunts-2022-06-15-1930-phantoms,2,Porter,3,3,3,3,0,0,0,0,1,0,0,0,0,0,,
smoking-bunts-2022-06-15-1930-phantoms,3,Tim,4,4,3,1,1,1,0,2,3,0,0,0,1,0,,
smoking-bunts-2022-06-15-1930-phantoms,4,Duff,3,3,2,1,0,1,0,2,1,0,0,0,0,0,,
smoking-bunts-2022-06-15-1930-phantoms,5,Glove,4,4,2,2,0,0,0,1,1,0,1,0,1,0,,
smoking-bunts-2022-06-15-1930-phantoms,6,JJ,3,3,2,2,0,0,0,1,1,0,0,0,0,0,,
smoking-bunts-2022-06-15-1930-phantoms,7,Teo,4,3,1,0,0,0,1,3,1,0,0,1,0,0,,
smoking-bunts-2022-06-15-1930-phantoms,8,Stevie,3,3,1,0,1,0,0,1,1,0,1,0,0,0,,
smoking-bunts-2022-06-15-1930-phantoms,9,Jason,3,3,1,1,0,0,0,2,1,0,0,0,1,0,,
